name,rgb,quantity
Trans-Purple,A5A5CB,2296
Trans-Purple Opal,8320B7,112
Trans-Red,C91A09,22255
Trans-Very Lt Blue,C1DFF0,234
Trans-Yellow,F5CD2F,13916
Two-tone Copper,945148,2
Two-tone Gold,AB673A,6
Two-tone Silver,737271,6
Very Light Bluish Gray,E6E3E0,266
Very Light Gray,E6E3DA,56
Very Light Orange,F3CF9B,18
Vibrant Yellow,EBD800,1065
Vintage Blue,039CBD,24
Vintage Green,1E601E,32
Vintage Red,CA1F08,31
Vintage Yellow,F3C305,24
Violet,4354A3,178
Warm Tan,CCA373,89
Warm Yellowish Orange,FFCB78,15
White,FFFFFF,432038
Yellow,F2CD37,192594
Yellowish Green,DFEEA5,2378
