name,year,num_parts
World Map,2021,11695
Eiffel Tower,2022,10001
Battle for Chima,2015,9987
Titanic,2021,9092
Colosseum,2020,9036
Millennium Falcon,2017,7541
AT-AT,2021,6785
The Razor Crest,2022,6194
Lord of the Rings: Rivendell,2023,6182
NINJAGO City Markets,2023,6163
Hogwarts Castle,2018,6020
Taj Mahal,2017,5923
Taj Mahal,2008,5922
Real Madrid – Santiago Bernabéu Stadium,2022,5876
NINJAGO City Gardens,2021,5709
Diagon Alley,2020,5548
Camp Nou - FC Barcelona,2021,5509
Star Wars / M&M Mosaic - Promo Set,2005,5462
Window Exploration Bag,2010,5200
Millennium Falcon,2007,5198
Hogwarts Express - Collectors' Edition,2022,5147
NINJAGO City,2017,4873
Disney Castle,2023,4837
Imperial Star Destroyer,2019,4784
Firehouse Headquarters,2016,4642
Lion Knights' Castle,2022,4515
Personalised Mosaic Portrait,2016,4502
Tower Bridge,2010,4295
Harry Potter Hogwarts Crests,2021,4249
Jim Lee Batman Collection,2022,4167
Big Ben,2016,4167
Art Project - Create Together,2021,4138
Roller Coaster,2018,4124
Liebherr R 9800 Excavator,2019,4108
Disney Castle,2016,4081
Studgate Train Station,2023,4074
Rough Terrain Crane,2018,4056
Hulkbuster,2022,4049
Death Star,2016,4024
Assembly Square,2017,4002
Batcave Shadowbox,2023,3989
Home Alone,2021,3955
Bucket Wheel Excavator,2016,3929
Old Trafford - Manchester United,2020,3898
Mountain View Observatory,2023,3876
Cat D11 Bulldozer,2021,3854
Death Star,2008,3809
Daily Bugle,2021,3803
Ferrari Daytona SP3,2022,3778
Loop Coaster,2022,3756
Lamborghini Sián FKP 37,2020,3696
Grand Piano,2020,3662
Bugatti Chiron,2018,3599
NINJAGO City Docks,2018,3555
Venetian Houses,2022,3462
Death Star II,2005,3461
The Joker Manor,2017,3445
Elvis Presley – The King,2022,3445
Eiffel Tower 1:300,2007,3428
The Sith,2020,3406
Modular Construction Site,2023,3374
Andy Warhol's Marilyn Monroe,2020,3341
1989 Batmobile,2019,3310
Sandcrawler,2014,3296
Republic Gunship,2021,3292
Grand Carousel,2009,3261
Haunted House,2020,3232
Mos Eisley Cantina,2020,3187
Welcome to Apocalypseburg!,2019,3178
Marvel Studios Iron Man,2020,3167
Super Star Destroyer,2011,3152
Jurassic Park: T. rex Rampage,2019,3120
Imperial Star Destroyer,2002,3116
Boutique Hotel,2022,3068
Tree House,2019,3037
Hogwarts Icons Collectors' Edition,2021,3012
The SHIELD Helicarrier,2015,2996
Sydney Opera House,2013,2989
Black Panther,2022,2961
The Beatles,2020,2933
Disney Train and Station,2019,2927
Police Station,2021,2924
Jazz Club,2023,2900
Statue of Liberty,2000,2899
Floral Art,2022,2870
The Mountain Cave,2017,2863
Identity and Landscape Kit,2013,2854
Lego Mosaic Dino,2003,2847
Betrayal at Cloud City,2018,2812
Identity and Landscape Kit,2022,2810
The Mighty Bowser,2022,2807
Retro Bowling Alley,2022,2795
Mercedes-Benz Arocs 3245,2015,2793
Skyline,2005,2792
Town Hall,2012,2772
MetalBeard's Sea Cow,2014,2743
Sanctum Sanctorum,2022,2713
Winter Chalet,2023,2708
Porsche 911 GT3 RS,2016,2704
Carousel,2017,2670
Disney's Mickey Mouse,2021,2658
PAC-MAN Arcade,2023,2651
Nintendo Entertainment System,2020,2646
Mobile Crane MK II,2013,2607
Mack Anthem,2018,2595
The Globe,2022,2585
Land Rover Defender,2019,2573
Corner Garage,2019,2569
The Simpsons House,2014,2547
Pirates of Barracuda Bay,2020,2546
Bonus Lego Basic Town,1996,2542
Atari 2600,2022,2532
Batman Classic TV Series - Batcave,2016,2526
Eldorado Fortress,2023,2511
Bookshop,2020,2504
Imperial Shuttle,2010,2503
Car Transporter,2019,2493
Downtown Diner,2018,2480
Parisian Restaurant,2014,2470
Ferris Wheel,2015,2464
Fantasy Era Castle Giant Chess Set,2008,2455
Connections Kit,2013,2448
The Heavenly Realms,2022,2438
Brick Bank,2016,2384
Extreme Adventure,2017,2382
Dragon of the East Palace,2023,2375
1989 Batwing,2020,2363
The Tower of Orthanc,2013,2362
Green Grocer,2008,2358
NASA Space Shuttle Discovery,2021,2355
ECTO-1,2020,2352
Land Rover Classic Defender 90,2023,2344
Table Football,2022,2339
Voltron,2018,2321
Hocus Pocus,2023,2316
The Starry Night,2022,2316
R2-D2,2021,2314
Iron Man Mosaic,2018,2305
Hermione Granger Mosaic,2018,2305
Harry Potter Mosaic,2018,2305
Emmet Lenticular Mosaic,2019,2305
Destiny's Bounty,2017,2296
Silent Mary,2017,2294
The Upside Down,2019,2287
Robie House,2011,2276
Detective's Office,2015,2262
Fire Brigade,2009,2236
Serious Play Module 1,2007,2219
Mosaic Tiger,2003,2217
Volkswagen T2 Camper Van,2021,2207
Giant Lego Topic Set,1991,2195
Palace Cinema,2013,2194
6x6 Volvo Articulated Hauler,2020,2193
Grand Emporium,2010,2187
The City of Lanterns,2022,2187
The Kwik-E-Mart,2015,2179
SUPERPOWERED Challenge Kit,2022,2175
Animal Allies Challenge Kit,2016,2167
Medieval Blacksmith,2021,2164
City Shaper Challenge Kit,2019,2158
Assault on Hoth,2016,2144
4x4 Mercedes-Benz Zetros Trial Truck,2021,2131
Lego Mosaic Johnny Thunder,2003,2127
R2-D2,2012,2127
Lego Mosaic Cat,2003,2127
Modular LEGO Store,2022,2124
Food Factor Challenge Kit,2011,2115
FLL World Class: Learning Unleashed Challenge Kit,2014,2098
Mountain Windmill,2022,2087
A-Frame Cabin,2023,2083
Typewriter,2021,2080
Motorized Lighthouse,2022,2065
Haunted House,2012,2064
Super Mario 64 Question Mark Block,2021,2064
Cafe Corner,2007,2058
Old Fishing Store,2017,2057
HYDRO DYNAMICS Challenge Kit,2017,2052
Batmobile Tumbler,2021,2049
Unimog U400,2011,2048
Friends - The Apartments,2021,2048
Connections Kit,2010,2045
Pet Shop,2011,2034
Diagon Alley,2011,2032
Temple of Airjitzu,2015,2030
Taj Mahal,2021,2024
LearnToLearn Core set,2014,2018
Town Plan,2008,2017
Heavy Duty Tow Truck,2021,2017
Löwenstein Castle,2019,2017
Downtown,2023,2010
Downtown Flower and Design Stores,2023,2010
Airbus H175 Rescue Helicopter,2022,2001
XXL 2000 Canister,2005,2000
Better Building More Fun,2004,2000
XXL 2000,2006,2000
The Rolling Stones,2022,1998
Slave I,2015,1996
Nature's Fury Challenge Kit,2013,1995
Trash Trek Challenge Kit,2015,1990
Ewok Village,2013,1990
CLAAS XERION 5000 TRAC VC,2016,1976
NASA Apollo Saturn V,2020,1969
NASA Apollo Saturn V,2017,1969
Y-Wing Starfighter,2018,1967
Castle in the Forest,2021,1953
X-Wing Starfighter,2023,1949
The Legendary Flower Fruit Mountain,2021,1949
Monkie Kid's Team Secret HQ,2020,1921
BMW Motorrad M 1000 RR,2022,1918
CARGO CONNECT Challenge Kit,2021,1918
INTO ORBIT Challenge Kit,2018,1910
Community Starter Set,2012,1907
The Guardians' Ship,2021,1901
Luke Skywalker's Landspeeder,2022,1890
Mobile Crane,2005,1885
Tow Truck,2006,1879
Crane Truck,2009,1877
Town Developers Set,2007,1875
The Tumbler,2014,1873
Back to the Future Time Machine,2022,1872
Darth Maul,2001,1868
6x6 All Terrain Tow Truck,2017,1862
Lego Minifigure,2000,1850
The Rexcelsior!,2019,1826
Hokusai - The Great Wave,2023,1810
The Little Mermaid Royal Clamshell,2023,1808
XXL 1800,2007,1800
Creative Fantasy Universe,2023,1800
Spring Lantern Festival,2021,1798
Destiny's Bounty,2020,1783
Peugeot 9X8 Le Mans Hybrid Hypercar,2023,1775
Tantive IV,2019,1772
Yoda,2019,1771
Empire State Building,2019,1767
Republic Dropship with AT-OT,2009,1758
Giant Truck,1996,1748
Rebel Blockade Runner,2001,1748
Fairground Mixer,2014,1745
Destiny’s Bounty - Race Against Time,2023,1741
Mickey Mouse & Minnie Mouse,2020,1739
Technology Resource Set,1995,1730
Monkey King Ultra Mech,2023,1712
ROBOLAB Starter Building Set,1998,1712
The Ice Castle,2021,1709
Snowspeeder,2017,1703
Space Mission,2022,1700
Creator Community Builders,2004,1690
London Bus,2017,1686
TIE Fighter,2015,1685
Statue of Liberty,2018,1685
City Square,2015,1683
Sandcrawler,2005,1682
Main Street Building,2022,1682
Pickup Truck,2021,1678
"Ferrari 488 GTE ""AF Corse #51""",2021,1677
Harry Potter & Hermione Granger,2021,1673
A-Wing Starfighter,2020,1672
Dragon Pit,2018,1669
Imperial Flagship,2010,1668
Chinese New Year Temple Fair,2020,1664
Micro Building Set,2007,1657
Lunar New Year Parade,2022,1653
Remote-Controlled Volvo L350F Wheel Loader,2014,1636
Bell Boeing V-22 Osprey,2020,1636
Monkey King Warrior Mech,2020,1635
Volkswagen Beetle,2008,1626
Arkham Asylum,2017,1622
Batman: Arkham Asylum Breakout,2012,1621
Medieval Market Village,2009,1619
Senior Solutions Challenge Kit,2012,1612
Great Fishing Boat,2021,1609
Jazz Quartet,2022,1606
Build Together,2022,1601
XXL Box,2010,1600
XL Creative Brick Box,2016,1600
RePLAY Challenge Kit,2020,1600
The Village,2016,1600
Creative Tower,2013,1600
Giant Box,2009,1600
Monkie Kid's Team Hideout,2023,1589
4 x 4 Crawler Exclusive Edition,2013,1584
Porsche 911 RSR,2019,1580
Kingdoms Joust,2012,1575
Heartlake Grand Hotel,2015,1572
Power Puzzle Challenge Kit,2007,1570
Red Five X-Wing Starfighter,2013,1558
Temple of the Golden Idol,2023,1545
Villain Icons,2023,1540
Identity and Landscape Kit,2010,1536
Lego Dragon,2001,1535
4.5V Technic Resource Set,1990,1534
Teachers Resource Set,1985,1534
Lunar New Year Ice Festival,2021,1519
Maersk Line Triple-E,2014,1518
Main Square,2020,1517
Holiday Main Street,2022,1516
Body Forward Challenge Kit,2010,1515
Heartlake City Community Centre,2023,1513
Optimus Prime,2022,1508
Nano Quest Challenge Kit,2006,1505
Bricks Bricks Plates,2020,1504
Blue Tub,2005,1500
Bricks Bricks Bricks,2018,1500
Bricks and Animals,2020,1500
XXXL Box,2015,1500
Wild West Saloon,2019,1497
Rescue Service Set,2010,1494
LEGO Campus,2022,1494
Winter Village Cottage,2012,1492
John Deere 948L-II Skidder,2023,1492
Y-wing Attack Starfighter,2004,1490
B-wing Starfighter,2012,1487
Williams F1 Team Racer,2002,1484
The White House,2020,1483
Gingerbread House,2019,1477
Great Pyramid of Giza,2022,1476
Newbury Haunted High School,2019,1475
Monkie Kid's Team Dronecopter,2021,1471
Ocean Odyssey Challenge Kit,2005,1471
Ford Mustang,2019,1471
2022 Ford GT,2023,1466
Porsche 911 Turbo & 911 Targa,2021,1458
Sentai Fortress,2006,1458
Rebel Snowspeeder,2003,1457
The Ultimate Batmobile,2017,1456
Chevrolet Camaro Z/28 1969,2022,1456
LEGO Chess,2017,1450
Santa's Visit,2021,1445
The LEGO Story,2019,1443
No Limits Challenge Kit,2004,1437
Silver Champion,2000,1433
McLaren Formula 1 Team 2022 (Second Edition),2022,1432
McLaren Formula 1 Team 2022 (First Edition),2022,1432
The Flaming Foundry,2020,1429
Medieval Castle,2021,1426
Knighton Castle,2017,1426
Giant Lego Dacta Basic Set,1997,1417
First Order Star Destroyer,2017,1416
Kessel Run Millennium Falcon,2018,1414
Space Challenge Set,2014,1412
Tantive IV,2009,1408
Super Street Sensation,1999,1406
Monkie Kid's Team Van,2022,1406
Temple of The Ultimate Ultimate Weapon,2017,1403
Crawler Crane,2015,1400
Ninja Dojo Temple,2022,1396
Eight Studs,2019,1394
Imperial Star Destroyer,2006,1389
The Bone Demon,2021,1383
Motorized Bulldozer,2007,1381
1950s Diner,2023,1381
Ford F-150 Raptor,2021,1379
First Order Heavy Assault Walker,2017,1376
Arctic Impact Challenge Kit,2001,1368
The Battle of Helm's Deep,2012,1367
123 Sesame Street,2020,1367
Space Shuttle,1996,1366
Skyline Express,2019,1366
The Hulkbuster: Ultron Edition,2018,1363
Enzo Ferrari 1:10,2005,1360
The Batman - Batmobile,2021,1360
Imperial Star Destroyer,2014,1359
Monkie Kid's Galactic Explorer,2022,1356
Green City Challenge Set,2011,1356
Mini Modulars,2012,1356
Millennium Falcon,2019,1351
Horizon Express,2013,1351
Beach Amusement Park,2023,1348
Super Car,1994,1346
Amusement Park,2005,1339
Imperial Light Cruiser,2021,1336
LEGOLAND Park,2019,1336
Volkswagen T1 Camper Van,2011,1332
Millennium Falcon,2015,1330
4 x 4 Crawler,2012,1327
Ocean Explorer,2017,1327
Trade Federation MTT,2007,1326
Seinfeld,2021,1326
Ferrari 599 GTB Fiorano 1:10,2007,1326
The Temple of Celebrations,2021,1312
Smart Move Challenge Kit,2009,1310
Heartlake City Grand Hotel,2021,1309
Logging Truck,2012,1308
Large Creator Bucket,2003,1305
X-wing Fighter,2000,1304
Isle of Peril,2019,1302
Flying Phoenix Fire Temple,2014,1301
Cargo Plane,2014,1297
James Bond Aston Martin DB5,2018,1297
Highway Transport,2009,1294
Mobile Crane,2020,1292
Hogwarts Castle,2010,1291
Mobile Crane,2010,1289
Supercar,2011,1281
Transport Ferry,2008,1279
Crocodile Locomotive,2020,1279
Antique Fire Engine,2019,1279
Volcano Heavy-Lift Helicopter,2016,1277
Service Truck,2013,1276
Barcode Multi-Set,1997,1274
Heartlake City Amusement Pier,2019,1267
AT-AT,2020,1267
Winnie the Pooh,2021,1265
Final Flight of Destiny's Bounty,2015,1264
Winter Village Market,2013,1261
Pirate Ship,2020,1260
The Lion CHI Temple,2013,1259
Samurai X Cave Chaos,2016,1255
Galaxy Explorer,2022,1254
Millennium Falcon,2011,1254
The Llama Village,2022,1252
Market Street (LEGO Inside Tour Version),2007,1250
Jungle Air Drop Helicopter,2017,1250
Market Street,2007,1250
Avengers Helicarrier,2020,1248
Ferrari F1 Racer 1:8,2006,1246
Thematic Builder Set,1996,1245
Sandcrawler,2018,1239
Maersk Container Train,2011,1233
Sceneries Set,2010,1231
Shuttle Expedition,2011,1230
Transportation Set,2006,1226
Cargo Train,2018,1226
Battle for Ninjago City,2014,1224
Castle of the Forsaken Emperor,2019,1223
Horizon Forbidden West: Tallneck,2022,1222
24 Hours Race Car,2015,1219
Imperial Assault Carrier,2015,1217
Toruk Makto & Tree of Souls,2022,1217
Peach's Castle Expansion Set,2022,1216
LEC Set,2008,1213
Vader's TIE Advanced,2006,1212
T. rex Breakout,2022,1212
Capital City,2018,1211
Architecture Studio,2013,1211
10 Years Of Friendship,2022,1211
Mission Mars Challenge Kit,2003,1209
Science Tower,2019,1205
The Brick Moulding Machine,2021,1205
Ultra Agents Ocean HQ,2015,1204
Shuttle Adventure,2010,1204
Quake Mech,2017,1202
Blue Strata XXL,2004,1201
Build Your Own House Tub,2005,1201
25th Anniversary Silver Tub,1998,1201
Creative Building Bricks,2021,1201
Basic Bulk Tub (American Version),1998,1200
35th Anniversary Tub,1998,1200
Basic Bulk Tub (Overseas Version),2002,1200
Elf Club House,2020,1197
Boeing 787 Dreamliner,2006,1197
Trafalgar Square,2019,1197
Viking Ship and the Midgard Serpent,2022,1192
Creator Community Builders,2004,1190
Land Bounty,2019,1189
Dieselnaut,2018,1188
Imperial Hotel,2013,1188
Rex's Rexplorer!,2019,1187
Jestro's Volcano Lair,2016,1186
The Panama Canal,2016,1184
Space & Airport Set,2010,1183
Telescopic Handler,2008,1182
Skull Sorcerer's Dungeons,2020,1180
Droid Commander,2019,1177
Republic Gunship,2013,1175
Fire Temple,2011,1174
Model Town House,2007,1174
Bird of Paradise,2021,1173
Mach II Red Bird Rig,1994,1173
Hogwarts Chamber Of Secrets,2021,1172
Spider Queen's Arachnoid Base,2021,1170
Venator-Class Republic Attack Cruiser,2009,1170
Volkswagen Beetle,2016,1167
Volvo Concept Wheel Loader ZEUX,2018,1167
Volvo EW160E,2016,1166
Winter Village Fire Station,2018,1166
Ultimate Party Kit,2023,1165
The Office,2022,1165
Heartlake Shopping Mall,2014,1162
Cement Mixer,2020,1161
Summer Riding Camp,2012,1160
Hydro Bounty,2021,1159
Ferrari F40,2015,1158
Indominus rex Breakout,2015,1156
Mission 6: Mobile Command Center,2008,1155
Andrea's Theater School,2022,1154
Technology Resource Set,2003,1154
Freight Train,2022,1153
Bowser's Airship Expansion Set,2021,1152
Air Race Jet,2017,1151
StoryStarter Core Set,2013,1147
Clone Turbo Tank,2010,1145
Grand Prix Racer,2013,1141
50 Years On Track,2016,1141
The Fortrex,2016,1140
AT-AT,2014,1138
Motorized Walking AT-AT,2007,1137
Dragon's Forge,2017,1137
Firefighter Aircraft,2023,1134
NASA Mars Rover Perseverance,2023,1132
Motorized Excavator,2010,1127
Sonic the Hedgehog – Green Hill Zone,2022,1125
Amusement Park Roller Coaster,2016,1124
The Ocean Monument,2017,1122
Flatbed Truck,2011,1115
Friendship Tree House,2022,1114
Red Son's Inferno Truck,2020,1111
The New Guardians' Ship,2023,1109
Vespa 125,2022,1107
Airport Rescue Vehicle,2017,1106
BB-8,2017,1106
Ninja Ultra Combo Mech,2022,1105
Deluxe Starter Set,2006,1104
4x4 Off Roader,2001,1103
The Malevolence,2012,1101
90 Years of Play,2022,1100
Tractor with Trailer,2009,1100
Santa and Reindeer,2018,1099
Queen Anne's Revenge,2011,1097
Off-Roader,2008,1097
Designer Toolkit - Patterns,2022,1096
Ultra Stealth Raider,2016,1094
Spider-Man: Web Warriors Ultimate Bridge Battle,2016,1093
The Batcave: The Penguin and Mr. Freeze's Invasion,2006,1091
AT-TE Walker,2022,1089
Emerald Night,2009,1089
Animals,2010,1088
NASA Apollo 11 Lunar Lander,2019,1087
12 Grimmauld Place,2022,1086
General Grievous,2008,1085
Monastery of Spinjitzu,2019,1080
Hobby Train,2007,1080
Story of Nian,2021,1080
Fender Stratocaster,2021,1079
Eclipso Dark Palace,2017,1079
Launch & Load Seaport,1991,1078
Dom's Dodge Charger,2020,1077
MINI Cooper,2014,1077
MINI Cooper (Re-Issue),2015,1077
Yoda,2002,1076
Hogwarts Express & Hogsmeade Station,2023,1076
The Child,2020,1073
Batcave Clayface Invasion,2019,1073
Botanical Garden,2023,1072
Dagny Holm - Master Builder,2022,1072
AT-AT [Blue Box],2004,1070
AT-AT [Black Box],2003,1070
Central Perk,2019,1070
City of Stiix,2015,1070
Imperial AT-ST,2006,1069
Control Centre / Control II,1995,1067
Lunar New Year Traditions,2021,1066
Ferris Wheel,2007,1065
Whirl and Wheel Super Truck,1990,1064
Kakapo,2021,1063
Customized Pick up Truck,2014,1063
Rocket Assembly & Transport,2019,1062
BD-1,2022,1062
Offroad Power,2010,1061
Front Loader,2009,1061
Darth Vader's Castle,2018,1060
Temple of the Endless Sea,2021,1060
Ultra Agents Mission HQ,2014,1059
Helicopter,2012,1056
The Batwing,2017,1053
Attack on The Burrow,2020,1052
Demon Bull King,2020,1051
Rise of the Domo,2021,1049
Batcave Break-in,2017,1047
Ski and Climbing Center,2023,1045
The Batmobile Ultimate Collectors' Edition,2006,1045
Heavy Lift Helicopter,2016,1042
A Minifigure Tribute,2023,1041
Lots of DOTS,2021,1040
Yuletide Squadron Xmas-Wing Starfighter,2019,1038
Republic Attack Gunship,2008,1038
Elemental Dragon vs. The Empress Mech,2023,1038
Jokerland,2015,1038
Fire Truck,2006,1035
Mystery Castle,2020,1035
United States Capitol Building,2016,1032
Heartlake City Shopping Mall,2021,1032
Truck,2004,1032
Viking Fortress against the Fafnir Dragon,2005,1031
Republic Frigate,2011,1030
Temple of the Dragon Energy Cores,2023,1026
Combine Harvester,2007,1025
Pop-Up Party Bus,2019,1024
Harley-Davidson Fat Boy,2019,1023
The Razor Crest,2020,1023
Bike Shop & Cafe,2014,1023
The Justifier,2022,1023
Brick Street Customs,2008,1021
100 Years of Disney Animation Icons,2023,1020
Hovercraft,2018,1020
Heartlake City Resort,2018,1019
Indoraptor Rampage at Lockwood,2018,1019
Skull Sorcerer's Dragon,2020,1017
Creative Suitcase,2014,1017
City Sights Challenge Kit,2002,1016
The Enchanted Treehouse,2023,1016
Ragana's Magic Shadow Castle,2016,1016
Nya's Samurai X MECH,2022,1014
Galactic Titan,2013,1012
Summer Fun Water Park,2020,1012
Sanctum Sanctorum Showdown,2018,1011
Bowser's Castle Boss Battle Expansion Set,2020,1010
Rocket Launch Center,2022,1010
Big Box Play Scape,1998,1010
Mobile Devastator,2007,1009
Portal of Atlantis,2010,1008
LEGO House Tree of Creativity,2017,1007
Slave I - 20th Anniversary Edition,2019,1007
Kylo Ren's Shuttle,2019,1005
Rally Car,2018,1005
Kylo Ren's Command Shuttle,2015,1005
World of Bricks,2006,1004
Horse Show Trailer,2022,1004
Forest Machine,2018,1003
King's Castle,2013,1003
CREATOR Strata Red {Red Tub},2003,1002
Lloyd's Golden Ultra Dragon,2022,1002
Ferris Wheel,2021,1002
50th Anniversary Tub,2005,1000
Creative LEGO Brick Set,2016,1000
Build Your Dreams,2002,1000
Create and Imagine,2003,1000
Blue Tub,2003,1000
Bricks and Creations Tub - (TRU Exclusive) (Bottom Tub and its contents only),2005,1000
Bricks and Creations Tub (Bottom Tub and its contents only),2004,1000
Build and Play Box,2012,1000
Lots of Bricks,2023,1000
Dagobah Jedi Training Diorama,2022,1000
Fun with Building Tub,2004,1000
Box of Bricks,2005,1000
XL Bulk Bucket,1997,1000
Creative Building Basket,2016,1000
Pretend and Create,2004,1000
The LEGO System House,2019,998
Ferrari F1 1:9,2009,997
Millennium Falcon (Black Box Version),2004,997
Millennium Falcon (Blue Box Version),2004,997
Queen Watevra's 'So-Not-Evil' Space Palace,2019,997
SUPERPOWERED Explore Set,2022,994
Maersk Line Container Ship 2010 Edition,2010,990
The Ministry of Magic,2022,990
Vladek's Dark Fortress,2005,989
Maersk Line Container Ship 2006 Edition,2006,988
Maersk Sealand Container Ship 2005 Edition,2005,988
Maersk Sealand Container Ship 2004 Edition,2004,988
Heartlake International School,2023,985
Zane's Ice Dragon Creature,2023,984
The Fortress,2016,984
Heavy-Haul Train,2015,984
U.S.S. Constellation,1978,982
The Boombox,2021,982
Power Puller,2000,980
Thor's Hammer,2022,979
Family Home,2009,978
Fire Stone Mech,2020,977
U.S.S. Constellation,2003,975
King's Castle Siege,2007,974
Queer Eye: The Fab 5 Loft,2021,974
Magical Funfair Roller Coaster,2021,974
Captain Rex's AT-TE,2016,972
Hogwarts Astronomy Tower,2020,971
The Bad Batch Attack Shuttle,2021,970
Holiday Train,2006,969
Townhouse Pet Shop & Café,2019,969
Desert of Destruction,2010,966
MERCEDES AMG PETRONAS Formula One Team,2017,963
Ship in a Bottle,2018,962
Ship in a Bottle,2020,962
Fiat 500,2020,960
Fiat 500 - Bright Light Blue Version,2021,960
Garage,2009,958
4x4 X-treme Off-Roader,2019,958
Police Headquarters,2008,958
Mandalorian Fang Fighter vs. TIE Interceptor,2023,957
Space Skulls,2008,957
Flying Fox: Batmobile Airlift Attack,2017,956
Airtech Claw Rig,1992,954
Pick-Up Tow Truck,2012,954
MTT,2014,954
The Ultra Dragon,2019,952
Around The World,2021,951
Large Bulk Bucket,1996,950
Basic Bricks,1996,950
Large Bucket,1995,950
Large Bulk Bucket,1998,950
Robot Inventor,2020,949
The Vampyre Castle,2012,949
Container Truck,2014,948
Hogwarts Castle,2007,946
Fire Mech,2017,944
Downtown Fire Brigade,2019,943
Big Message Board,2022,943
Theme Set,1991,942
"Benny's Spaceship, Spaceship, SPACESHIP!",2014,940
Wildflower Bouquet,2023,939
City Garage,2012,938
Hogwarts Castle,2004,938
Imperial Shuttle Tydirium,2015,937
Rebel Combat Frigate,2016,936
Vehicles,2010,935
King's Castle,2010,933
Resistance I-TS Transport,2020,932
Roaring Roadsters,2006,931
Temple of the Crystal Skull,2008,930
Nezha's Fire Ring,2022,929
The Ghost,2014,929
Rescue Mission Boat,2019,928
Jedi Defender-class Cruiser,2013,927
Hogwarts Clock Tower,2019,926
Imagine It! Build It!,2019,925
Skull's Eye Schooner,1993,924
Inquisitor Transport Scythe,2022,924
Pirate Roller Coaster,2018,923
The Mine,2014,922
Fire Station,2016,920
Compact Crawler Crane,2019,920
Celebrating 40 Years of Hands-on Learning,2020,919
Republic Cruiser (Limited Edition - with R2-R7),2007,919
Black Seas Barracuda,1989,918
Freight and Crane Railway,1996,918
Town Square,2013,918
Imagination Set 5,1971,917
Black Seas Barracuda,2002,916
Police Chase at the Bank,2022,915
Epic Dragon Battle,2012,915
Ice Tank,2017,914
City Airport,2004,914
City Airport (Full Size Image Box),2004,914
Arctic Truck,2015,913
Dinosaur Fossils,2019,911
Fire Station Headquarters,2021,910
Ole Kirk's House (LEGO Inside Tour Version),2009,910
Ole Kirk's House (LEGO Employee Christmas Gift Version),2012,910
The Modern Treehouse,2021,909
Harbor Set,2011,907
Mos Espa Podrace,1999,907
Deep Sea Operation Base,2015,907
Train Station,2022,907
Bugatti Bolide Agile Blue,2023,905
Bugatti Bolide,2023,905
Century Skyway,1994,905
Clone Turbo Tank,2016,903
Winter Village Station,2017,902
Denken mit Lego (Thinking with Lego 900pcs),1972,901
Creative Box,2017,900
Creative Fun,2019,900
Creative Party Box,2023,900
Icons of Play,2023,899
Evil Macaque's Mech,2022,899
Community Buildings,1984,899
Winter Toy Shop,2015,898
Construction Site,2009,898
Test Car,1988,898
CyberMaster,1998,897
CyberMaster,1998,897
Tuning Workshop,2020,897
The Battle of Endor,2009,894
Custom Car Garage,2008,894
Police Station,2017,894
Star Justice,2008,893
F14 T & Scuderia Ferrari Truck,2015,892
Cargo Train,2014,892
Firstbourne,2018,892
Turtle Lair Invasion,2014,888
Floating Mountains: Site 26 & RDA Samson,2022,887
The Twilight - Limited Edition,2008,887
CARGO CONNECT Explore Set,2021,885
Santa's Workshop,2014,884
Bricks,2010,884
The Elvenstar Tree Bat Attack,2018,883
Mining Experts Site,2018,883
Lion Dance,2020,882
Hogwarts Great Hall,2018,882
Heartlake Hospital,2017,880
Dragon of the East,2022,880
Earth Defense HQ,2011,879
Sopwith Camel,2012,879
Bonsai,2021,878
Lloyd's Titan Mech,2019,878
Luigi's Mansion Haunt-and-Seek Expansion Set,2022,877
Royal King's Castle,2006,877
Clockwork Aquarium,2022,876
Lightning Jet,2017,876
Battle of Metru Nui,2005,876
Brick-Built Minions and Their Lair,2020,876
Hogwarts Wizard's Chess,2021,873
Tractor,2006,872
Lunar New Year Display,2023,872
Mission to Mars,2018,871
Arkham Asylum,2006,869
The Lonely Mountain,2014,866
Mars Exploration Rover,2003,865
LEGO House Dinosaurs,2019,865
Public Transport,2010,864
International Space Station,2020,864
Pneumatic Crane Truck / Mobile Crane,1995,863
Krennic's Imperial Shuttle,2016,863
King Crominus' Rescue,2015,863
Reznor Knockdown Expansion Set,2021,862
Mystery Mansion,2015,861
City Hospital,2018,861
Rescue Reinforcements,2014,859
King Pig's Castle,2016,859
Pop-Up Book,2018,859
Mosaic,2000,857
Cargo Train Deluxe,2006,857
Pirates Chess Set,2015,856
Ferrari Ultimate Garage,2018,856
EV3 Expansion Set,2013,856
Aquabase Invasion,2007,854
Super Secret Police Dropship,2014,854
Police Station,2014,854
Captain Rex Helmet,2023,854
Autumn's House,2023,853
Tokyo International Circuit,2011,852
Yellow Tusk Elephant,2023,851
Jabba's Sail Barge,2013,850
Creative Designer Box,2021,849
City Buildings Set,2010,848
Skopio XV-1,2009,848
Hogsmeade Village Visit,2021,847
Cargo Railway,1996,847
Creative Toolbox,2017,847
Hogwarts Desktop Kit,2023,846
Pneumatic Crane Truck,2003,846
Trolls' Mountain Fortress,2009,845
25th Anniversary Silver Tub,1998,845
Emma's Art School,2022,844
Deep-Sea Explorer Submarine,2023,842
35th Anniversary Tub,1998,842
Climate Connections Challenge Kit,2008,842
The Goblin King Battle,2012,840
Tree of Creativity,2018,840
Jestro's Headquarters,2017,840
Zane's Titan Mech Battle,2021,840
Cargo Train,2010,839
