name_themes,counts
RoboForce,4
Marvel Super Heroes,4
Spybotics,4
Gabby’s Dollshouse,4
Samsonite,4
Miles From Tomorrowland,3
X-Men,3
Sculptures,3
Wolfpack,3
Zooters,3
eLAB,3
Aquaraiders I,3
Jurassic World: Fallen Kingdom,3
Sofia the First,3
Stranger Things,3
Dark Forest,3
Universe,2
Williams F1,2
Avatar: The Last Airbender,2
Ghostbusters,2
The Powerpuff Girls,2
Fantastic Beasts,2
Jurassic Park III,2
Legoland,1
Aquazone,1
Mini,1
Adventurers,1
